1707396471.646341,21,361,3.23
1707396471.646365,9,263,3.245
1707396471.778130,4,10,4.818
1707396471.778215,7,216,3.212
1707396471.778242,19,314,3.216
1707396471.778268,17,284,3.212
1707396471.778294,23,200,3.208
1707396471.778321,13,220,3.218
1707396471.778347,15,116,3.468
1707396471.778373,11,250,3.262
1707396471.778399,5,110,3.243
1707396471.778425,21,361,3.21
1707396471.778451,9,263,3.235
1707396471.912347,4,10,4.818
1707396471.912432,7,216,3.246
1707396471.912457,19,314,3.233
1707396471.912481,17,284,3.222
1707396471.912505,23,200,3.243
1707396471.912528,13,220,3.204
1707396471.912552,15,116,3.324
1707396471.912576,11,250,3.175
1707396471.912599,5,110,3.21
1707396471.912623,21,361,3.202
1707396471.912647,9,276,3.253
1707396472.044663,4,10,4.818
1707396472.044747,7,216,3.233
1707396472.044773,19,314,3.238
1707396472.044804,17,284,3.214
1707396472.044829,23,200,3.266
1707396472.044854,13,220,3.24
1707396472.044878,15,116,3.247
1707396472.044904,11,250,3.242
1707396472.044929,5,110,3.253
1707396472.044954,21,361,3.289
1707396472.044979,9,276,3.252
1707396472.178051,4,10,4.818
1707396472.178135,7,216,3.255
1707396472.178162,19,314,3.268
1707396472.178187,17,284,3.209
1707396472.178212,23,200,3.23
1707396472.178238,13,229,3.246
1707396472.178268,15,116,3.249
1707396472.178293,11,250,3.234
1707396472.178319,5,110,3.241
1707396472.178344,21,361,3.25
1707396472.178369,9,276,3.217
1707396472.311419,4,10,4.818
1707396472.311525,7,216,3.241
1707396472.311553,19,314,3.229
1707396472.311581,17,284,3.244
1707396472.311609,23,208,3.244
1707396472.311641,13,229,3.26
1707396472.311669,15,116,3.252
1707396472.311697,11,250,3.268
1707396472.311724,5,110,3.261
1707396472.311752,21,361,3.198
1707396472.311779,9,276,3.268
1707396472.445314,4,10,4.818
1707396472.445412,7,216,3.222
1707396472.445439,19,314,3.209
1707396472.445464,17,284,3.206
1707396472.445488,23,226,3.219
1707396472.445513,13,229,3.216
1707396472.445537,15,116,3.461
1707396472.445562,11,250,3.264
1707396472.445587,5,110,3.275
1707396472.445612,21,361,3.193
1707396472.445636,9,276,3.293
1707396472.577485,4,10,4.818
1707396472.577564,7,216,3.228
1707396472.577591,19,314,3.229
1707396472.577615,17,284,3.254
1707396472.577640,23,226,3.247
1707396472.577664,13,229,3.264
1707396472.577688,15,116,3.25
1707396472.577712,11,250,3.259
1707396472.577737,5,110,3.286
1707396472.577761,21,361,3.255
1707396472.577785,9,276,3.263
1707396472.710138,4,10,4.818
1707396472.710227,7,216,3.221
1707396472.710253,19,314,3.218
1707396472.710277,17,284,3.244
1707396472.710301,23,226,3.248
1707396472.710326,13,229,3.26
1707396472.710350,15,116,3.251
1707396472.710375,11,250,3.264
1707396472.710400,5,110,3.187
1707396472.710425,21,361,3.226
1707396472.710449,9,276,3.251
